Character,Line Count,Dialogue Duration,Wookieepedia Article,Gender,Movie,MovieSort,Word Count
Finn,304,459.575,https://starwars.fandom.com/wiki/Finn,Male,The Force%Awakens (2015),1,1418
Rey,252,382.118,https://starwars.fandom.com/wiki/Rey_Skywalker,Female,The Force%Awakens (2015),1,1089
Han,247,418.871,https://starwars.fandom.com/wiki/Han_Solo,Male,The Force%Awakens (2015),1,1251
Kylo Ren,121,213.043,https://starwars.fandom.com/wiki/Ben_Solo,Male,The Force%Awakens (2015),1,593
Poe,117,178.455,https://starwars.fandom.com/wiki/Poe_Dameron,Male,The Force%Awakens (2015),1,642
BB-8,78,113.994,https://starwars.fandom.com/wiki/BB-8,Male,The Force%Awakens (2015),1,0
Maz,66,128.497,https://starwars.fandom.com/wiki/Maz_Kanata,Female,The Force%Awakens (2015),1,265
Chewie,59,80.458,https://starwars.fandom.com/wiki/Chewbacca,Male,The Force%Awakens (2015),1,0
Hux,56,124.497,https://starwars.fandom.com/wiki/Armitage_Hux,Male,The Force%Awakens (2015),1,315
Leia,50,84.415,https://starwars.fandom.com/wiki/Leia_Skywalker_Organa_Solo,Female,The Force%Awakens (2015),1,243
C-3PO,44,75.458,https://starwars.fandom.com/wiki/C-3PO,Male,The Force%Awakens (2015),1,210
Snoke,31,80.456,https://starwars.fandom.com/wiki/Snoke,Male,The Force%Awakens (2015),1,144
Male Stormtrooper,29,46.083,https://starwars.fandom.com/wiki/Stormtrooper_(First_Order),Male,The Force%Awakens (2015),1,125
Bala-Tik,18,33.999,https://starwars.fandom.com/wiki/Bala-Tik,Male,The Force%Awakens (2015),1,98
Lor San Tekka,15,33.834,https://starwars.fandom.com/wiki/Lor_San_Tekka,Male,The Force%Awakens (2015),1,90
Unkar,14,28.75,https://starwars.fandom.com/wiki/Unkar_Plutt,Male,The Force%Awakens (2015),1,49
Phasma,14,29.999,https://starwars.fandom.com/wiki/Phasma,Female,The Force%Awakens (2015),1,72
Mitaka,12,20.457,https://starwars.fandom.com/wiki/Dopheld_Mitaka,Male,The Force%Awakens (2015),1,62
Male First Order Officer,11,17.625,https://starwars.fandom.com/wiki/First_Order_officer,Male,The Force%Awakens (2015),1,49
Rathtar,11,16.708,https://starwars.fandom.com/wiki/Rathtar,Unknown gender,The Force%Awakens (2015),1,0
Statura,8,15.542,https://starwars.fandom.com/wiki/Ushos_O._Statura,Male,The Force%Awakens (2015),1,48
R2-D2,8,12.376,https://starwars.fandom.com/wiki/R2-D2,Male,The Force%Awakens (2015),1,0
Teedo,8,14.624,https://starwars.fandom.com/wiki/Teedo_(Niima_Outpost),Male,The Force%Awakens (2015),1,3
Snap,7,10.792,https://starwars.fandom.com/wiki/Temmin_Wexley,Male,The Force%Awakens (2015),1,31
